"Tee","Nimi","Suurus","Muudetud"
"C:\Users\randr\VirtualBox VMs\Debian11\Debian11-disk001.vdi","Debian11-disk001.vdi","10,2 GB","10.11.2025 18:28:19"
"C:\Users\randr\VirtualBox VMs\windows 7 64\win7-sysprep-disk1.vdi","win7-sysprep-disk1.vdi","8,7 GB","10.11.2025 17:55:45"
"C:\Users\randr\VirtualBox VMs\export-i-51630a6d26d68bc7t\export-i-51630a6d26d68bc7t-disk-1.vdi","export-i-51630a6d26d68bc7t-disk-1.vdi","7,1 GB","08.12.2025 19:11:10"
"C:\Users\randr\VirtualBox VMs\Deb12NoGui\Deb12NoGui-disk001.vdi","Deb12NoGui-disk001.vdi","5,8 GB","24.11.2025 18:39:33"
"C:\Users\randr\VirtualBox VMs\Deb12NoGui 1\Deb12NoGui-disk001.vdi","Deb12NoGui-disk001.vdi","4,7 GB","14.10.2025 03:14:27"
"C:\Users\randr\VirtualBox VMs\Deb12NoGui 2\Deb12NoGui-disk001.vdi","Deb12NoGui-disk001.vdi","3,4 GB","27.10.2025 19:52:15"
"C:\Users\randr\VirtualBox VMs\deB12NG_SMTP_CLIENT\Deb12NoGui-disk001.vdi","Deb12NoGui-disk001.vdi","3,4 GB","08.12.2025 19:09:42"
"C:\Users\randr\VirtualBox VMs\Deb12NG_SMTP_SRV\Deb12NoGui-disk001.vdi","Deb12NoGui-disk001.vdi","3,4 GB","08.12.2025 19:09:55"
"C:\Users\randr\CrossDevice\Kasutaja Rei S21 (1)\storage\DCIM\Camera\20230819_193452.mp4","20230819_193452.mp4","194,8 MB","19.08.2023 19:35:54"
"C:\Users\randr\.jdks\corretto-11.0.22\lib\modules","modules","134,7 MB","02.03.2024 12:22:10"
